Time,Used
43044.170434,19561176
43044.170477,30231072
43044.170523,34330680
43044.170570,38483808
43044.170616,42804552
43044.170662,46311160
43044.170708,19876440
43044.170755,23961984
43044.170801,28158776
43044.170847,32184880
43044.170894,35911936
43044.170940,40230424
43044.170986,44130856
43044.171033,48383320
43044.171079,19435736
43044.171125,23588096
43044.171171,27946760
43044.171218,31808224
43044.171264,35516944
43044.171310,39708600
43044.171357,43441824
43044.171403,47372376
43044.171449,18221352
43044.171496,23017608
43044.171542,27797992
43044.171588,31432336
43044.171634,35659888
43044.171681,39353304
43044.171727,43198400
43044.171773,47302136
43044.171820,19772752
43044.171866,28109928
43044.171912,36135464
43044.171958,40804048
43044.172005,45971776
43044.172051,20846120
